game_id;result;moves;board
1;white_win;11-15,24-20,8-11,28-24,9-13,22-18,15x22,25x18,4-8,26-22,10-14,18x9,5x14,22-18,1-5,18x9,5x14,29-25,11-15,24-19,15x24,25-22,24-28,22-18,6-9,27-24,8-11,24-19,7-10,20-16,11x20,18-15,2-6,15-11,12-16,19x12,10-15,11-8,15-18,21-17,13x22,30-26,18x27,26x17x10x1;#####rrrrrrrr#rrrr0000#0000wwww#wwwwwwww#####
2;draw;11-15,24-20,8-11,28-24,4-8,23-19,9-14,22-17,15-18,26-23,5-9,17-13,1-5,32-28,14-17,21x14,10x17,23x14,9x18,25-21,6-10,21x14,10x17,29-25,17-22,25-21,11-16,20x11x4,3-8,4x11,7x16x23x32,24-20,22-25,21-17,25-29,17-14,2-6,30-26,29-25,20-16,12x19,26-23,19x26,31x22x15,25-22,14-10,22-18,10x1,18x11,1-6,11-15,28-24;#####rrrrrrrr#rrrr0000#0000wwww#wwwwwwww#####
3;white_win;11-15,23-18,8-11,26-23,10-14,30-26,7-10,24-19,15x24,28x19,2-7,22-17,4-8,26-22,11-16,27-24,16-20,32-28,20x27,31x24,8-11,24-20;#####rrrrrrrr#rrrr0000#0000wwww#wwwwwwww#####
4;draw;11-15,23-18,8-11,26-23,10-14,30-26,6-10,24-19,15x24,27x20,4-8,28-24,12-16,22-17,8-12,32-28,10-15,17x10,7x14,26-22,2-6,24-19,15x24,28x19,6-10,31-26,1-6,22-17,11-15,18x11,14-18,23x14x7,16x23x30,7-2,9-13,2x9,13x22,25x18,5x14x23,21-17;#####rrrrrrrr#rrrr0000#0000wwww#wwwwwwww#####
5;draw;11-15,23-19,9-14,22-17,5-9,17-13,14-18,24-20,15x24,28x19,9-14,25-22,18x25,29x22,8-11,27-23,11-15,32-28,15x24,28x19,4-8,22-18,8-11,18x9,11-15,19-16,12x19,23x16,1-5,16-11,5x14,26-23,7x16,20x11,15-18,30-25,18x27,31x24,14-18,21-17,18-23,24-19,23-26,25-21,26-31,17-14,10x17,21x14,31-26,14-9,26-23,19-16,23-18,16-12,18-14,9-5,14-10,11-8,10-7,5-1,7-10,1-5,10-14,8-4,6-9,13x6,2x9;#####rrrrrrrr#rrrr0000#0000wwww#wwwwwwww#####
6;black_win;11-15,24-19,15x24,28x19,8-11,22-18,11-16,25-22,16-20,29-25,10-14,18-15,4-8,22-18,7-11,26-22,11-16,30-26,3-7,27-24,20x27,31x24,16-20,32-27,7-10,15-11,8x15,18x11,9-13,11-8,2-7,22-18,5-9,8-3,13-17,26-22,17x26,25-22,26-31,18-15,31-26;#####rrrrrrrr#rrrr0000#0000wwww#wwwwwwww#####
7;white_win;11-15,23-19,9-14,27-23,8-11,22-18,15x22,25x18x9,5x14,29-25,6-9,25-22,9-13,22-18,1-5,18x9,5x14,24-20,4-8,23-18,14x23,31-27,13-17,21x14,10x17,27x18,7-10,26-22,17x26,30x23,2-6,32-27,6-9,18-15,11x18,23x14x5;#####rrrrrrrr#rrrr0000#0000wwww#wwwwwwww#####
8;black_win;11-15,22-17,8-11,23-19,9-13,17-14,10x17,21x14,15-18,26-23,13-17,19-15,4-8,24-19,6-9,28-24,9-13,25-21,17-22,30-25,2-6,15-10,6x15,19x10,12-16,24-19,16-20,32-28,20-24,27x20,18x27,25x18,27-32,29-25,13-17,25-22,17x26,31x22,32-27,19-15,5-9,14x5,7x14x23,15-10,23-26,22-18,27-23,18-14,23-18,14-9,18-14,9-6,14x7;#####rrrrrrrr#rrrr0000#0000wwww#wwwwwwww#####
9;black_win;11-15,23-19,9-14,27-23,8-11,22-18,15x22,25x18x9,5x14,29-25,6-9,25-22,9-13,24-20,11-15,19-16,12x19,23x16,15-19,22-18,14x23,31-27,4-8,27x18,8-11,18-14,10x17,21x14,11-15,26-22,15-18,22x15,7-10,14x7,2x11x18,16-11,18-22,20-16,22-26,30x23,19x26,16-12,26-30,11-8,30-26,8-4,26-23,4-8,13-17,8-11,17-22,11-16,23-26,28-24,26-31,16-20;#####rrrrrrrr#rrrr0000#0000wwww#wwwwwwww#####
10;black_win;11-15,22-18,15x22,25x18,8-11,29-25,10-15,25-22,4-8,24-20,12-16,21-17,8-12,17-14,16-19,23x16,12x19,27-23,9-13,23x16,6-10,32-27,10x17,27-23,1-6,16-12,6-10,23-19,15x24,28x19,17-21,26-23,5-9,31-27,10-14,19-15,11-16,20x11,7x16,27-24,16-20,24-19,14-17,30-26,21-25;#####rrrrrrrr#rrrr0000#0000wwww#wwwwwwww#####
11;draw;11-15,23-19,8-11,22-17,4-8,25-22,9-13,27-23,6-9,23-18,9-14,18x9,5x14,26-23,1-6,30-25,15-18,22x15,11x18x27,32x23,13x22,25x18x9,6x13,29-25,13-17,21x14,10x17,19-16,12x19x26,31x22x13,2-6,25-22,8-11,24-19,6-10,13-9,10-15,19x10,7x14,9-6,11-15,28-24,14-18,24-19,18x25,19x10,3-8;#####rrrrrrrr#rrrr0000#0000wwww#wwwwwwww#####
